"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"LSP1",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"PDE3B",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"PPEF2",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"SLC5A12",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"TPH2",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"UGT2B7",17,10,0.694249058290788,1.26266766446741,3.1172353340284,0.53996663206828,0.830412898310207
"CCDC178",38,25,0.694680778202289,1.13064081883287,1.98628299825713,0.653730334590851,0.830854882570947
"DOCK10",35,29,0.696083382724401,0.885022410410204,1.5265012917937,0.516506851100313,0.832308832557484
"KLHL4",35,29,0.696083382724401,0.885022410410204,1.5265012917937,0.516506851100313,0.832308832557484
"TSHZ2",35,29,0.696083382724401,0.885022410410204,1.5265012917937,0.516506851100313,0.832308832557484
"FBXL7",39,26,0.699930147264302,1.11510454230746,1.93972989421855,0.650476590130154,0.836633117308484
"ABCA10",40,26,0.700058830546731,1.14567161152692,1.98809241156772,0.670350346313937,0.836633117308484
"MYT1L",40,26,0.700058830546731,1.14567161152692,1.98809241156772,0.670350346313937,0.836633117308484
"CSRNP3",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"FRMD6",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"HCLS1",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"OR4K1",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"OR4K15",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"PALM2AKAP2",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"TF",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"USP8",15,13,0.701350132880891,0.848720188708276,1.95959524207818,0.372493832305896,0.836633117308484
"CD163",41,27,0.704271073274734,1.13015201199538,1.94314131816638,0.66676034102411,0.836633117308484
"ITGA2",18,11,0.705182684166634,1.21474109743818,2.87656102986976,0.53708141663827,0.836633117308484
"PIEZO2",18,11,0.705182684166634,1.21474109743818,2.87656102986976,0.53708141663827,0.836633117308484
"ADIPOR1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"ALG9",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"ARL4A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"C11orf16",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CAMP",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CASC3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CDIN1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CHID1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CHMP4B",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CHTOP",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CLDN11",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CLDN2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CRLF2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"CSHL1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
